genre,title,author,format,number_of_pages,dimension,weight,date_published,publisher,ISBN,language,city,country,bestseller_rank,rating,rating_count,price
thriller,Verity : The thriller that will capture your heart and blow your mind,Colleen Hoover,Paperback,336,126 x 196 x 26mm,232.0,2022-01-20,"Little, Brown Book Group",9781408726600,English,London,United Kingdom,14,4.38,1624766,890.0
thriller,"The Silent Patient : The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,Paperback,352,126 x 196 x 26mm,250.0,2020-01-15,Orion Publishing Co,9781409181637,English,London,United Kingdom,29,4.18,1396033,3041.61
thriller,The Breakdown: The gripping thriller from the bestselling author of Behind Closed Doors,B A Paris,Paperback,384,126 x 198 x 27mm,300.0,2017-02-09,HarperCollins Publishers,9781848454996,English,London,United Kingdom,5175,3.9,112961,3539.26
thriller,Friend Request : The most addictive psychological thriller you'll read this year,Laura Marshall,Paperback,400,144 x 202 x 25mm,276.0,2018-01-11,"Little, Brown Book Group",9780751568356,English,London,United Kingdom,13884,3.77,43687,3164.01
thriller,Neuromancer : The groundbreaking cyberpunk thriller,William Gibson,Paperback,320,133 x 199 x 23mm,285.0,2016-12-08,Orion Publishing Co,9781473217386,English,London,United Kingdom,717,3.9,304012,3277.06
thriller,The Girl With All The Gifts : The most original thriller you will read this year,M. R. Carey,Paperback,512,201 x 159 x 35mm,353.0,2014-06-19,"Little, Brown Book Group",9780356500157,English,London,United Kingdom,59649,3.95,213666,3762.97
thriller,The Girl in the Ice : A gripping serial killer thriller,Robert Bryndza,Paperback,400,126 x 196 x 40mm,280.0,2017-11-30,"Little, Brown Book Group",9780751570656,English,London,United Kingdom,13914,3.96,76254,3399.6
thriller,Slow Horses : Slough House Thriller 1,Mick Herron,Paperback,336,128 x 196 x 26mm,260.0,2018-06-12,John Murray Press,9781473674189,English,London,United Kingdom,843,3.94,27464,3048.83
thriller,Three Little Lies : A completely gripping thriller with a killer twist,Laura Marshall,Paperback,384,126 x 196 x 28mm,260.0,2019-04-04,"Little, Brown Book Group",9780751568370,English,London,United Kingdom,51600,3.78,5846,2957.68
thriller,Two Kinds of Truth : A Harry Bosch Thriller,Michael Connelly,Paperback,480,128 x 196 x 32mm,333.0,2018-05-17,Orion Publishing Co,9781409147596,English,London,United Kingdom,3906,4.27,58106,3284.0
